¿Cuál es el río más largo del mundo?,Amazonas,Nilo,Misisipi,Yangtsé,Amazonas
¿Quién pintó la 'Mona Lisa'?,Vincent van Gogh,Pablo Picasso,Leonardo da Vinci,Claude Monet,Leonardo da Vinci
¿Cuál es el elemento químico con el símbolo Au?,Plata,Cobre,Hierro,Oro,Oro
¿En qué año llegó el hombre a la Luna?,1965,1969,1972,1959,1969
¿Cuál es el país más grande del mundo por área?,China,Canadá,Rusia,Estados Unidos,Rusia
¿Qué órgano del cuerpo humano produce la insulina?,Hígado,Corazón,Páncreas,Riñón,Páncreas
¿Quién escribió 'Cien años de soledad'?,Mario Vargas Llosa,Gabriel García Márquez,Julio Cortázar,Isabel Allende,Gabriel García Márquez
¿Cuál es la capital de Japón?,Kioto,Osaka,Seúl,Tokio,Tokio
¿Cuántos huesos tiene el cuerpo humano adulto?,206,195,212,201,206
¿Cuál es el planeta más cercano al Sol?,Venus,Marte,Mercurio,Júpiter,Mercurio
¿Qué gas necesitan las plantas para realizar la fotosíntesis?,Oxígeno,Dióxido de carbono,Nitrógeno,Hidrógeno,Dióxido de carbono
¿Cuál es la montaña más alta del mundo?,K2,Annapurna,Everest,Makalu,Everest
¿En qué país se encuentra la Torre de Pisa?,Francia,España,Italia,Grecia,Italia
¿Cuál es el océano más grande de la Tierra?,Atlántico,Índico,Ártico,Pacífico,Pacífico
¿Quién es el autor de 'Don Quijote de la Mancha'?,Lope de Vega,Miguel de Cervantes,Francisco de Quevedo,Federico García Lorca,Miguel de Cervantes
¿Cuál es la velocidad de la luz?,300.000 km/s,150.000 km/s,500.000 km/s,1.000.000 km/s,300.000 km/s
¿Qué país ganó el Mundial de Fútbol de 2022?,Francia,Brasil,Argentina,Alemania,Argentina
¿Cuál es el metal que es líquido a temperatura ambiente?,Oro,Hierro,Mercurio,Plomo,Mercurio
¿En qué continente se encuentra el desierto del Sahara?,Asia,África,América,Oceanía,África
¿Cuál es la lengua más hablada del mundo por hablantes nativos?,Inglés,Español,Chino mandarín,Hindi,Chino mandarín
